pathway	overlap_size	pathway_size	p-value	overlap_EmpiricalCompounds (id)	overlap_features (id)	overlap_features (name)
Leukotriene metabolism	2	3	0.0132761952777	E583,E250	C00302,C00302	DL-Glutamate; DL-Glutaminic acid; 2-Aminoglutaric acid; Glutamate$DL-Glutamate; DL-Glutaminic acid; 2-Aminoglutaric acid; Glutamate
Carnitine shuttle	4	13	0.0168893370305	E603,E312,E549,E121	c226crn,tmndnccrn,tetpent3crn/tetpent6crn,dcsptn1crn/clpndcrn	cervonyl carnitine$Timnodonyl carnitine$tetracosapentaenoyl carnitine/tetracosapentaenoyl carnitine$docosa-4,7,10,13,16-pentaenoyl carnitine/clupanodonyl carnitine
Purine metabolism	4	13	0.0168893370305	E109,E223,E334,E277	C05938/C00217/C00025,C00819/C00064/C05100,C05938/C00217/C00025,C05938/C00217/C00025	L-4-Hydroxyglutamate semialdehyde/D-Glutamate; D-Glutamic acid; D-Glutaminic acid; D-2-Aminoglutaric acid/L-Glutamate; L-Glutamic acid; L-Glutaminic acid; Glutamate$D-Glutamine; D-2-Aminoglutaramic acid/L-Glutamine; L-2-Aminoglutaramic acid/3-Ureidoisobutyrate$L-4-Hydroxyglutamate semialdehyde/D-Glutamate; D-Glutamic acid; D-Glutaminic acid; D-2-Aminoglutaric acid/L-Glutamate; L-Glutamic acid; L-Glutaminic acid; Glutamate$L-4-Hydroxyglutamate semialdehyde/D-Glutamate; D-Glutamic acid; D-Glutaminic acid; D-2-Aminoglutaric acid/L-Glutamate; L-Glutamic acid; L-Glutaminic acid; Glutamate
Glutamate metabolism	4	13	0.0168893370305	E109,E223,E334,E277	C05938/C00217/C00025,C00819/C00064/C05100,C05938/C00217/C00025,C05938/C00217/C00025	L-4-Hydroxyglutamate semialdehyde/D-Glutamate; D-Glutamic acid; D-Glutaminic acid; D-2-Aminoglutaric acid/L-Glutamate; L-Glutamic acid; L-Glutaminic acid; Glutamate$D-Glutamine; D-2-Aminoglutaramic acid/L-Glutamine; L-2-Aminoglutaramic acid/3-Ureidoisobutyrate$L-4-Hydroxyglutamate semialdehyde/D-Glutamate; D-Glutamic acid; D-Glutaminic acid; D-2-Aminoglutaric acid/L-Glutamate; L-Glutamic acid; L-Glutaminic acid; Glutamate$L-4-Hydroxyglutamate semialdehyde/D-Glutamate; D-Glutamic acid; D-Glutaminic acid; D-2-Aminoglutaric acid/L-Glutamate; L-Glutamic acid; L-Glutaminic acid; Glutamate
Alanine and Aspartate Metabolism	4	13	0.0168893370305	E109,E223,E334,E277	C05938/C00217/C00025,C00819/C00064/C05100,C05938/C00217/C00025,C05938/C00217/C00025	L-4-Hydroxyglutamate semialdehyde/D-Glutamate; D-Glutamic acid; D-Glutaminic acid; D-2-Aminoglutaric acid/L-Glutamate; L-Glutamic acid; L-Glutaminic acid; Glutamate$D-Glutamine; D-2-Aminoglutaramic acid/L-Glutamine; L-2-Aminoglutaramic acid/3-Ureidoisobutyrate$L-4-Hydroxyglutamate semialdehyde/D-Glutamate; D-Glutamic acid; D-Glutaminic acid; D-2-Aminoglutaric acid/L-Glutamate; L-Glutamic acid; L-Glutaminic acid; Glutamate$L-4-Hydroxyglutamate semialdehyde/D-Glutamate; D-Glutamic acid; D-Glutaminic acid; D-2-Aminoglutaric acid/L-Glutamate; L-Glutamic acid; L-Glutaminic acid; Glutamate
Lysine metabolism	5	19	0.0178976556592	E109,E91,E334,E616,E277	C05938/C00217/C00025,C00450/C04092,C05938/C00217/C00025,C03239/C04076/C02946,C05938/C00217/C00025	L-4-Hydroxyglutamate semialdehyde/D-Glutamate; D-Glutamic acid; D-Glutaminic acid; D-2-Aminoglutaric acid/L-Glutamate; L-Glutamic acid; L-Glutaminic acid; Glutamate$2,3,4,5-Tetrahydropyridine-2-carboxylate; delta1-Piperideine-6-L-carboxylate/delta1-Piperideine-2-carboxylate; 1,2-Didehydropiperidine-2-carboxylate$L-4-Hydroxyglutamate semialdehyde/D-Glutamate; D-Glutamic acid; D-Glutaminic acid; D-2-Aminoglutaric acid/L-Glutamate; L-Glutamic acid; L-Glutaminic acid; Glutamate$6-Amino-2-oxohexanoate; 2-Oxo-6-aminocaproate/L-2-Aminoadipate 6-semialdehyde; 2-Aminoadipate 6-semialdehyde/4-Acetamidobutanoate; N4-Acetylaminobutanoate$L-4-Hydroxyglutamate semialdehyde/D-Glutamate; D-Glutamic acid; D-Glutaminic acid; D-2-Aminoglutaric acid/L-Glutamate; L-Glutamic acid; L-Glutaminic acid; Glutamate
Linoleate metabolism	3	9	0.0224350894883	E527,E212,E520	CE2061,C04230,C08261	$1-Acyl-sn-glycero-3-phosphocholine; 1-Acyl-sn-glycerol-3-phosphocholine; alpha-Acylglycerophosphocholine; 2-Lysolecithin; 2-Lysophosphatidylcholine; 1-Acylglycerophosphocholine$
Beta-Alanine metabolism	3	9	0.0224350894883	E109,E334,E277	C05938/C00217/C00025,C05938/C00217/C00025,C05938/C00217/C00025	L-4-Hydroxyglutamate semialdehyde/D-Glutamate; D-Glutamic acid; D-Glutaminic acid; D-2-Aminoglutaric acid/L-Glutamate; L-Glutamic acid; L-Glutaminic acid; Glutamate$L-4-Hydroxyglutamate semialdehyde/D-Glutamate; D-Glutamic acid; D-Glutaminic acid; D-2-Aminoglutaric acid/L-Glutamate; L-Glutamic acid; L-Glutaminic acid; Glutamate$L-4-Hydroxyglutamate semialdehyde/D-Glutamate; D-Glutamic acid; D-Glutaminic acid; D-2-Aminoglutaric acid/L-Glutamate; L-Glutamic acid; L-Glutaminic acid; Glutamate
Valine, leucine and isoleucine degradation	3	10	0.0306696916226	E109,E334,E277	C05938/C00217/C00025,C05938/C00217/C00025,C05938/C00217/C00025	L-4-Hydroxyglutamate semialdehyde/D-Glutamate; D-Glutamic acid; D-Glutaminic acid; D-2-Aminoglutaric acid/L-Glutamate; L-Glutamic acid; L-Glutaminic acid; Glutamate$L-4-Hydroxyglutamate semialdehyde/D-Glutamate; D-Glutamic acid; D-Glutaminic acid; D-2-Aminoglutaric acid/L-Glutamate; L-Glutamic acid; L-Glutaminic acid; Glutamate$L-4-Hydroxyglutamate semialdehyde/D-Glutamate; D-Glutamic acid; D-Glutaminic acid; D-2-Aminoglutaric acid/L-Glutamate; L-Glutamic acid; L-Glutaminic acid; Glutamate
Pyrimidine metabolism	4	16	0.0336946475086	E109,E223,E334,E277	C05938/C00217/C00025,C00819/C00064/C05100,C05938/C00217/C00025,C05938/C00217/C00025	L-4-Hydroxyglutamate semialdehyde/D-Glutamate; D-Glutamic acid; D-Glutaminic acid; D-2-Aminoglutaric acid/L-Glutamate; L-Glutamic acid; L-Glutaminic acid; Glutamate$D-Glutamine; D-2-Aminoglutaramic acid/L-Glutamine; L-2-Aminoglutaramic acid/3-Ureidoisobutyrate$L-4-Hydroxyglutamate semialdehyde/D-Glutamate; D-Glutamic acid; D-Glutaminic acid; D-2-Aminoglutaric acid/L-Glutamate; L-Glutamic acid; L-Glutaminic acid; Glutamate$L-4-Hydroxyglutamate semialdehyde/D-Glutamate; D-Glutamic acid; D-Glutaminic acid; D-2-Aminoglutaric acid/L-Glutamate; L-Glutamic acid; L-Glutaminic acid; Glutamate
Butanoate metabolism	3	14	0.0791530123519	E109,E334,E277	C05938/C00217/C00025,C05938/C00217/C00025,C05938/C00217/C00025	L-4-Hydroxyglutamate semialdehyde/D-Glutamate; D-Glutamic acid; D-Glutaminic acid; D-2-Aminoglutaric acid/L-Glutamate; L-Glutamic acid; L-Glutaminic acid; Glutamate$L-4-Hydroxyglutamate semialdehyde/D-Glutamate; D-Glutamic acid; D-Glutaminic acid; D-2-Aminoglutaric acid/L-Glutamate; L-Glutamic acid; L-Glutaminic acid; Glutamate$L-4-Hydroxyglutamate semialdehyde/D-Glutamate; D-Glutamic acid; D-Glutaminic acid; D-2-Aminoglutaric acid/L-Glutamate; L-Glutamic acid; L-Glutaminic acid; Glutamate
Limonene and pinene degradation	1	2	0.0795731451139	E681		
Tryptophan metabolism	4	22	0.0934375262583	E109,E334,E313,E277	C05938/C00217/C00025,C05938/C00217/C00025,,C05938/C00217/C00025	L-4-Hydroxyglutamate semialdehyde/D-Glutamate; D-Glutamic acid; D-Glutaminic acid; D-2-Aminoglutaric acid/L-Glutamate; L-Glutamic acid; L-Glutaminic acid; Glutamate$L-4-Hydroxyglutamate semialdehyde/D-Glutamate; D-Glutamic acid; D-Glutaminic acid; D-2-Aminoglutaric acid/L-Glutamate; L-Glutamic acid; L-Glutaminic acid; Glutamate$$L-4-Hydroxyglutamate semialdehyde/D-Glutamate; D-Glutamic acid; D-Glutaminic acid; D-2-Aminoglutaric acid/L-Glutamate; L-Glutamic acid; L-Glutaminic acid; Glutamate
Vitamin B5 - CoA biosynthesis from pantothenate	1	3	0.118981598185	E672		
CoA Catabolism	1	3	0.118981598185	E672		
Histidine metabolism	3	19	0.139400050416	E109,E334,E277	C05938/C00217/C00025,C05938/C00217/C00025,C05938/C00217/C00025	L-4-Hydroxyglutamate semialdehyde/D-Glutamate; D-Glutamic acid; D-Glutaminic acid; D-2-Aminoglutaric acid/L-Glutamate; L-Glutamic acid; L-Glutaminic acid; Glutamate$L-4-Hydroxyglutamate semialdehyde/D-Glutamate; D-Glutamic acid; D-Glutaminic acid; D-2-Aminoglutaric acid/L-Glutamate; L-Glutamic acid; L-Glutaminic acid; Glutamate$L-4-Hydroxyglutamate semialdehyde/D-Glutamate; D-Glutamic acid; D-Glutaminic acid; D-2-Aminoglutaric acid/L-Glutamate; L-Glutamic acid; L-Glutaminic acid; Glutamate
Urea cycle/amino group metabolism	5	43	0.183766070078	E109,E443,E334,E616,E277	C05938/C00217/C00025,C00763/CE4788/C00148,C05938/C00217/C00025,C03239/C04076/C02946,C05938/C00217/C00025	L-4-Hydroxyglutamate semialdehyde/D-Glutamate; D-Glutamic acid; D-Glutaminic acid; D-2-Aminoglutaric acid/L-Glutamate; L-Glutamic acid; L-Glutaminic acid; Glutamate$D-Proline/acetamidopropanal/L-Proline; 2-Pyrrolidinecarboxylic acid$L-4-Hydroxyglutamate semialdehyde/D-Glutamate; D-Glutamic acid; D-Glutaminic acid; D-2-Aminoglutaric acid/L-Glutamate; L-Glutamic acid; L-Glutaminic acid; Glutamate$6-Amino-2-oxohexanoate; 2-Oxo-6-aminocaproate/L-2-Aminoadipate 6-semialdehyde; 2-Aminoadipate 6-semialdehyde/4-Acetamidobutanoate; N4-Acetylaminobutanoate$L-4-Hydroxyglutamate semialdehyde/D-Glutamate; D-Glutamic acid; D-Glutaminic acid; D-2-Aminoglutaric acid/L-Glutamate; L-Glutamic acid; L-Glutaminic acid; Glutamate
Glycerophospholipid metabolism	1	8	0.190740273927	E212	C04230	1-Acyl-sn-glycero-3-phosphocholine; 1-Acyl-sn-glycerol-3-phosphocholine; alpha-Acylglycerophosphocholine; 2-Lysolecithin; 2-Lysophosphatidylcholine; 1-Acylglycerophosphocholine
Tyrosine metabolism	4	36	0.19225275187	E109,E223,E334,E277	C05938/C00217/C00025,C00819/C00064/C05100,C05938/C00217/C00025,C05938/C00217/C00025	L-4-Hydroxyglutamate semialdehyde/D-Glutamate; D-Glutamic acid; D-Glutaminic acid; D-2-Aminoglutaric acid/L-Glutamate; L-Glutamic acid; L-Glutaminic acid; Glutamate$D-Glutamine; D-2-Aminoglutaramic acid/L-Glutamine; L-2-Aminoglutaramic acid/3-Ureidoisobutyrate$L-4-Hydroxyglutamate semialdehyde/D-Glutamate; D-Glutamic acid; D-Glutaminic acid; D-2-Aminoglutaric acid/L-Glutamate; L-Glutamic acid; L-Glutaminic acid; Glutamate$L-4-Hydroxyglutamate semialdehyde/D-Glutamate; D-Glutamic acid; D-Glutaminic acid; D-2-Aminoglutaric acid/L-Glutamate; L-Glutamic acid; L-Glutaminic acid; Glutamate
Glycine, serine, alanine and threonine metabolism	3	28	0.19788253088	E109,E334,E277	C05938/C00217/C00025,C05938/C00217/C00025,C05938/C00217/C00025	L-4-Hydroxyglutamate semialdehyde/D-Glutamate; D-Glutamic acid; D-Glutaminic acid; D-2-Aminoglutaric acid/L-Glutamate; L-Glutamic acid; L-Glutaminic acid; Glutamate$L-4-Hydroxyglutamate semialdehyde/D-Glutamate; D-Glutamic acid; D-Glutaminic acid; D-2-Aminoglutaric acid/L-Glutamate; L-Glutamic acid; L-Glutaminic acid; Glutamate$L-4-Hydroxyglutamate semialdehyde/D-Glutamate; D-Glutamic acid; D-Glutaminic acid; D-2-Aminoglutaric acid/L-Glutamate; L-Glutamic acid; L-Glutaminic acid; Glutamate
Vitamin D3 (cholecalciferol) metabolism	0	0	0.242668683304			
Hyaluronan Metabolism	0	0	0.242668683304			
Glycolysis and Gluconeogenesis	0	2	0.242668683304			
Glycosphingolipid biosynthesis - ganglioseries	0	2	0.242668683304			
N-Glycan biosynthesis	0	2	0.242668683304			
Keratan sulfate degradation	0	2	0.242668683304			
Glycerolipid metabolism	0	0	0.242668683304			
3-oxo-10R-octadecatrienoate beta-oxidation	0	2	0.242668683304			
Alkaloid biosynthesis II	0	2	0.242668683304			
Vitamin B1 (thiamin) metabolism	0	2	0.242668683304			
Glycosphingolipid biosynthesis - globoseries	0	2	0.242668683304			
Glycosylphosphatidylinositol(GPI)-anchor biosynthesis	0	0	0.242668683304			
Glycosphingolipid biosynthesis - lactoseries	0	0	0.242668683304			
Parathio degradation	0	0	0.242668683304			
Bile acid biosynthesis	0	2	0.242668683304			
Di-unsaturated fatty acid beta-oxidation	0	1	0.242668683304			
Galactose metabolism	0	3	0.242668683304			
Squalene and cholesterol biosynthesis	0	1	0.242668683304			
C5-Branched dibasic acid metabolism	0	0	0.242668683304			
R Group Synthesis	0	0	0.242668683304			
Sialic acid metabolism	0	3	0.242668683304			
Hexose phosphorylation	0	5	0.242668683304			
Vitamin B2 (riboflavin) metabolism	0	0	0.242668683304			
Pyruvate Metabolism	0	0	0.242668683304			
Chondroitin sulfate degradation	0	3	0.242668683304			
Propanoate metabolism	0	0	0.242668683304			
Blood Group Biosynthesis	0	0	0.242668683304			
Caffeine metabolism	0	3	0.242668683304			
Lipoate metabolism	0	2	0.242668683304			
Androgen and estrogen biosynthesis and metabolism	0	1	0.242668683304			
Drug metabolism - cytochrome P450	0	1	0.242668683304			
Vitamin E metabolism	0	2	0.242668683304			
Electron transport chain	0	1	0.242668683304			
Vitamin H (biotin) metabolism	0	2	0.242668683304			
Biopterin metabolism	0	4	0.242668683304			
Heparan sulfate biosynthesis	0	0	0.242668683304			
Glyoxylate and Dicarboxylate Metabolism	0	1	0.242668683304			
De novo fatty acid biosynthesis	0	1	0.242668683304			
Vitamin A (retinol) metabolism	0	0	0.242668683304			
Ascorbate (Vitamin C) and Aldarate Metabolism	0	2	0.242668683304			
Polyunsaturated fatty acid biosynthesis	0	0	0.242668683304			
Fatty acid oxidation, peroxisome	0	0	0.242668683304			
Omega-3 fatty acid metabolism	0	0	0.242668683304			
Fatty Acid Metabolism	0	2	0.242668683304			
D4&E4-neuroprostanes formation	0	1	0.242668683304			
Geraniol degradation	0	0	0.242668683304			
Xenobiotics metabolism	0	1	0.242668683304			
Glycosaminoglycan degradation	0	0	0.242668683304			
Fatty acid oxidation	0	0	0.242668683304			
Fructose and mannose metabolism	0	3	0.242668683304			
ROS Detoxification	0	0	0.242668683304			
Saturated fatty acids beta-oxidation	0	2	0.242668683304			
Mono-unsaturated fatty acid beta-oxidation	0	0	0.242668683304			
Glycosphingolipid biosynthesis - neolactoseries	0	0	0.242668683304			
Vitamin D	0	0	0.242668683304			
Dynorphin metabolism	0	0	0.242668683304			
Heparan sulfate degradation	0	3	0.242668683304			
Vitamin K metabolism	0	0	0.242668683304			
Glycosphingolipid metabolism	0	5	0.242668683304			
