EID	massfeature_rows	str_row_ion	compounds	compound_names
E414	row321;row452	row321_M-H2O+H[1+];row452_M+H2O+H[1+]	C00547;C00314	L-Noradrenaline; Noradrenaline; Norepinephrine; Arterenol; 4-[(1R)-2-Amino-1-hydroxyethyl]-1,2-benzenediol$Pyridoxine; Pyridoxol
E424	row77	row77_M-H2O+H[1+]	C06102;C03465;C00233	Adipate semialdehyde; Hexan-1-one-6-carboxylate; 6-Oxohexanoate$3-Methyl-2-oxopentanoate; 2-Oxo-3-methylvalerate$4-Methyl-2-oxopentanoate; 2-Oxoisocaproate
E432	row23;row3;row39;row574;row7;row8	row23_M+Na[1+];row3_M-HCOOH+H[1+];row39_M-NH3+H[1+];row574_M-H2O+H[1+];row7_M+H[1+];row8_M(C13)+H[1+]	C00819;C00064;C05100	D-Glutamine; D-2-Aminoglutaramic acid$L-Glutamine; L-2-Aminoglutaramic acid$3-Ureidoisobutyrate
E433	row345;row478;row569	row345_M-H2O+H[1+];row478_M-NH3+H[1+];row569_M+H[1+]	pcrn	propionyl-carnitine
E437	row77	row77_M+H[1+]	C04221	trans-1,2-Dihydrobenzene-1,2-diol
E438	row583	row583_M+H[1+]	C14762;C14825;C14826	13(S)-HODE; (13S)-Hydroxyoctadecadienoic acid; (9Z, 11E)-(13S)-13-Hydroxyoctadeca-9,11-dienoic acid$9(10)-EpOME; (9R,10S)-(12Z)-9,10-Epoxyoctadecenoic acid$12(13)-EpOME; (12R,13S)-(9Z)-12,13-Epoxyoctadecenoic acid
E440	row170	row170_M+Na[1+]	C06212	N-Methylserotonin
E444	row283	row283_M+H[1+]	C00378	Thiamin; Thiamine; Vitamin B1; Aneurin; Antiberiberi factor
E446	row116	row116_M+H[1+]	C06124	Sphingosine 1-phosphate; Sphing-4-enine 1-phosphate
E449	row190	row190_M-H2O+H[1+]	C00217;C05938;C00025	D-Glutamate; D-Glutamic acid; D-Glutaminic acid; D-2-Aminoglutaric acid$L-4-Hydroxyglutamate semialdehyde$L-Glutamate; L-Glutamic acid; L-Glutaminic acid; Glutamate
E454	row385	row385_M+H[1+]	C00378	Thiamin; Thiamine; Vitamin B1; Aneurin; Antiberiberi factor
E456	row297	row297_M+H[1+]	CE5820	histidyl-prolinamide
E461	row326;row364	row326_M(C13)+H[1+];row364_M+H[1+]	C01026;C02356;C00334;C03284;C05145;C01205	N,N-Dimethylglycine; Dimethylglycine$(S)-2-Aminobutanoate; (S)-2-Aminobutanoic acid; (S)-2-Aminobutyric acid$4-Aminobutanoate; 4-Aminobutanoic acid; 4-Aminobutyrate; 4-Aminobutyric acid; gamma-Aminobutyric acid$L-3-Amino-isobutanoate; (S)-3-Amino-isobutyrate; L-3-Amino-isobutyrate; (S)-3-Amino-isobutanoate; (S)-3-Amino-2-methylpropanoate$3-Aminoisobutyric acid; 3-Aminoisobutanoate; 3-Amino-2-methylpropanoate$(R)-3-Amino-2-methylpropanoate; D-3-Amino-isobutanoate
E463	row446	row446_M-H2O+H[1+]	C00819;C00064;C05100	D-Glutamine; D-2-Aminoglutaramic acid$L-Glutamine; L-2-Aminoglutaramic acid$3-Ureidoisobutyrate
E464	row128	row128_M+H[1+]	C00785	Urocanate; Urocanic acid
E467	row160;row480	row160_M-H2O+H[1+];row480_M+H[1+]	CE2576	
E468	row172	row172_M-H2O+H[1+]	C05660	5-Methoxyindoleacetate
E471	row340	row340_M+H[1+]	C00951	Estradiol-17beta; beta-Estradiol; Estradiol
E482	row165;row210	row165_M-H2O+H[1+];row210_M-CO+H[1+]	C01252	4-(2-Aminophenyl)-2,4-dioxobutanoate
E488	row302;row304	row302_M+H[1+];row304_M+H2O+H[1+]	C01595	Linoleate; Linoleic acid; (9Z,12Z)-Octadecadienoic acid; 9-cis,12-cis-Octadecadienoate; 9-cis,12-cis-Octadecadienoic acid
E498	row324	row324_M-H2O+H[1+]	C00437	N-Acetylornithine; N2-Acetyl-L-ornithine
E502	row184	row184_M-H2O+H[1+]	C00355	3,4-Dihydroxy-L-phenylalanine; L-Dopa; 3-Hydroxy-L-tyrosine; L-beta-(3,4-Dihydroxyphenyl)alanine; Levodopa; Dihydroxy-L-phenylalanine
E505	row491	row491_M+H[1+]	gudac;C00581	Guanidinoacetate$Guanidinoacetate; Guanidinoacetic acid; Glycocyamine; N-Amidinoglycine; Guanidoacetic acid
E512	row71	row71_M-H2O+H[1+]	C00217;C05938;C00025	D-Glutamate; D-Glutamic acid; D-Glutaminic acid; D-2-Aminoglutaric acid$L-4-Hydroxyglutamate semialdehyde$L-Glutamate; L-Glutamic acid; L-Glutaminic acid; Glutamate
E514	row106	row106_M+H[1+]	CE2122	methyl indole-3-acetate
