EID	massfeature_rows	str_row_ion	compounds	compound_names
E227	row110;row255	row110_M+H[1+];row255_M+Na[1+]	C00819;C00064;C05100	D-Glutamine; D-2-Aminoglutaramic acid$L-Glutamine; L-2-Aminoglutaramic acid$3-Ureidoisobutyrate
E234	row281	row281_M+H[1+]	C00795;C00221;C00267;C00031;C00137;C00738;C00095;C00962;C00247;C00984;C00159;C00936;C01582;C02336;C00293;C00124	D-Tagatose; lyxo-Hexulose$beta-D-Glucose$alpha-D-Glucose$D-Glucose; Grape sugar; Dextrose$myo-Inositol; D-myo-Inositol; 1D-myo-Inositol; L-myo-Inositol; 1L-myo-Inositol; meso-Inositol; Inositol; Dambose; Cyclohexitol; Meat sugar; Bios I$D-Hexose$D-Fructose; Levulose; Fruit sugar; D-arabino-Hexulose$beta-D-Galactose$L-Sorbose; L-xylo-Hexulose$alpha-D-Galactose$D-Mannose; Mannose; Seminose; Carubinose$$Galactose$beta-D-Fructose; beta-Fruit sugar; beta-D-arabino-Hexulose; beta-Levulose; Fructose$Glucose$D-Galactose
E237	row145	row145_M+H[1+]	C05519;C00188	L-Allothreonine; L-allo-Threonine$L-Threonine; 2-Amino-3-hydroxybutyric acid
E243	row76	row76_M-H2O+H[1+]	C03239;C04076;C02946	6-Amino-2-oxohexanoate; 2-Oxo-6-aminocaproate$L-2-Aminoadipate 6-semialdehyde; 2-Aminoadipate 6-semialdehyde$4-Acetamidobutanoate; N4-Acetylaminobutanoate
E244	row247;row91	row247_M-CO+H[1+];row91_M-H2O+H[1+]	C01252	4-(2-Aminophenyl)-2,4-dioxobutanoate
E247	row28;row336	row28_M+H[1+];row336_M-CO2+H[1+]	C05548	6-Acetamido-2-oxohexanoate; 2-Oxo-6-acetamidocaproate
E252	row181	row181_M+H[1+]	C00819;C00064;C05100	D-Glutamine; D-2-Aminoglutaramic acid$L-Glutamine; L-2-Aminoglutaramic acid$3-Ureidoisobutyrate
E256	row93	row93_M-H2O+H[1+]	CE2176	3-O-methyldopa
E258	row221	row221_M+H[1+]	C02642;C00152	3-Ureidopropionate; 3-Ureidopropanoate; beta-Ureidopropionic acid; N-Carbamoyl-beta-alanine$L-Asparagine; 2-Aminosuccinamic acid
E259	row127	row127_M+Na[1+]	CE2152	
E261	row66	row66_M+H[1+]	C00153	Nicotinamide; Nicotinic acid amide; Niacinamide; Vitamin PP
E270	row317	row317_M+H[1+]	pcrn	propionyl-carnitine
E272	row211	row211_M-H2O+H[1+]	C00430;C03440;C01165;C01157;C01110	5-Aminolevulinate; 5-Amino-4-oxopentanoate; 5-Amino-4-oxovaleric acid$cis-4-Hydroxy-D-proline$L-Glutamate 5-semialdehyde; L-Glutamate gamma-semialdehyde$trans-4-Hydroxy-L-proline$5-Amino-2-oxopentanoic acid; 5-Amino-2-oxopentanoate; 2-Oxo-5-amino-pentanoate; 2-Oxo-5-aminopentanoate; alpha-Keto-delta-aminopentanoate; 2-Oxo-5-aminovalerate
E277	row79	row79_M-H2O+H[1+]	C00430;C03440;C01165;C01157;C01110	5-Aminolevulinate; 5-Amino-4-oxopentanoate; 5-Amino-4-oxovaleric acid$cis-4-Hydroxy-D-proline$L-Glutamate 5-semialdehyde; L-Glutamate gamma-semialdehyde$trans-4-Hydroxy-L-proline$5-Amino-2-oxopentanoic acid; 5-Amino-2-oxopentanoate; 2-Oxo-5-amino-pentanoate; 2-Oxo-5-aminopentanoate; alpha-Keto-delta-aminopentanoate; 2-Oxo-5-aminovalerate
E282	row6	row6_M+H[1+]	C04230	1-Acyl-sn-glycero-3-phosphocholine; 1-Acyl-sn-glycerol-3-phosphocholine; alpha-Acylglycerophosphocholine; 2-Lysolecithin; 2-Lysophosphatidylcholine; 1-Acylglycerophosphocholine
E287	row332	row332_M+H[1+]	C00378	Thiamin; Thiamine; Vitamin B1; Aneurin; Antiberiberi factor
E288	row247	row247_M-H2O+H[1+]	C00355	3,4-Dihydroxy-L-phenylalanine; L-Dopa; 3-Hydroxy-L-tyrosine; L-beta-(3,4-Dihydroxyphenyl)alanine; Levodopa; Dihydroxy-L-phenylalanine
E300	row72;row94	row72_M+H2O+H[1+];row94_M+H[1+]	C05587;C07453	3-Methoxytyramine$Epinine; Deoxyepinephrine
E301	row264	row264_M+H[1+]	C00431;C00183;C00719	5-Aminopentanoate; 5-Aminopentanoic acid; 5-Aminovaleric acid$L-Valine; 2-Amino-3-methylbutyric acid$Betaine; Trimethylaminoacetate; Glycine betaine; N,N,N-Trimethylglycine; Trimethylammonioacetate
E304	row126	row126_M+Na[1+]	dmhptcrn	2,6 dimethylheptanoyl carnitine
E311	row43	row43_M-H2O+H[1+]	C03680	4-Imidazolone-5-propanoate; 4-Imidazolone-5-propionic acid; 4,5-Dihydro-4-oxo-5-imidazolepropanoate
E312	row194;row285;row294;row335	row194_M+H[1+];row285_M-CO+H[1+];row294_M+H2O+H[1+];row335_M-H2O+H[1+]	C05589;C00788	L-Normetanephrine$L-Adrenaline; (R)-(-)-Adrenaline; (R)-(-)-Epinephrine; (R)-(-)-Epirenamine; (R)-(-)-Adnephrine; 4-[(1R)-1-Hydroxy-2-(methylamino)ethyl]-1,2-benzenediol
E314	row247;row281	row247_M[1+];row281_M+H[1+]	C13747;CE5541;C07480	1,7-Dimethylxanthine; Paraxanthine$adrenochrome o-semiquinone$
E317	row252;row82;row9	row252_M+H2O+H[1+];row82_M+H[1+];row9_M-CO+H[1+]	C11924	Perillic acid
E319	row80	row80_M+H[1+]	C06124	Sphingosine 1-phosphate; Sphing-4-enine 1-phosphate
E321	row194;row199;row294	row194_M-H4O2+H[1+];row199_M-HCOOH+H[1+];row294_M-H2O+H[1+]	C00864	Pantothenate; Pantothenic acid; (R)-Pantothenate
E327	row320	row320_M-H2O+H[1+]	C00864	Pantothenate; Pantothenic acid; (R)-Pantothenate
E331	row27	row27_M+H[1+]	C00819;C00064;C05100	D-Glutamine; D-2-Aminoglutaramic acid$L-Glutamine; L-2-Aminoglutaramic acid$3-Ureidoisobutyrate
E332	row305	row305_M-H2O+H[1+]	C16595;C16587	4-Hydroxy-5-phenyltetrahydro-1,3-oxazin-2-one$3-Carbamoyl-2-phenylpropionaldehyde
E333	row79	row79_M+H[1+]	C03564;C03912	1-Pyrroline-2-carboxylate; 1-Pyrroline-2-carboxylic acid; delta1-Pyrroline 2-carboxylate$(S)-1-Pyrroline-5-carboxylate; L-1-Pyrroline-5-carboxylate; 1-Pyrroline-5-carboxylate
E336	row234	row234_M+Na[1+]	C00795;C13747;C00221;C00267;C07480;C00031;C00137;C00738;C00095;C00962;C00247;C00984;C00159;C00936;C01582;C02336;C00293;C00124	D-Tagatose; lyxo-Hexulose$1,7-Dimethylxanthine; Paraxanthine$beta-D-Glucose$alpha-D-Glucose$$D-Glucose; Grape sugar; Dextrose$myo-Inositol; D-myo-Inositol; 1D-myo-Inositol; L-myo-Inositol; 1L-myo-Inositol; meso-Inositol; Inositol; Dambose; Cyclohexitol; Meat sugar; Bios I$D-Hexose$D-Fructose; Levulose; Fruit sugar; D-arabino-Hexulose$beta-D-Galactose$L-Sorbose; L-xylo-Hexulose$alpha-D-Galactose$D-Mannose; Mannose; Seminose; Carubinose$$Galactose$beta-D-Fructose; beta-Fruit sugar; beta-D-arabino-Hexulose; beta-Levulose; Fructose$Glucose$D-Galactose
E338	row9	row9_M-H2O+H[1+]	CE2006;CE6506	$
E342	row194;row335;row83	row194_M+H2O+H[1+];row335_M+H[1+];row83_M-H4O2+H[1+]	C00079;CE2172	L-Phenylalanine; (S)-alpha-Amino-beta-phenylpropionic acid$
