pathway	overlap_size	pathway_size	p-value	overlap_EmpiricalCompounds (id)	overlap_features (id)	overlap_features (name)
ROS Detoxification	0	0	0.181497353164			
Saturated fatty acids beta-oxidation	0	1	0.181497353164			
CoA Catabolism	0	2	0.181497353164			
Omega-3 fatty acid metabolism	0	0	0.181497353164			
Mono-unsaturated fatty acid beta-oxidation	0	0	0.181497353164			
Fructose and mannose metabolism	0	2	0.181497353164			
Vitamin A (retinol) metabolism	0	0	0.181497353164			
Valine, leucine and isoleucine degradation	0	4	0.181497353164			
Fatty Acid Metabolism	0	1	0.181497353164			
Arachidonic acid metabolism	0	1	0.181497353164			
3-Chloroacrylic acid degradation	0	0	0.181497353164			
Glutathione Metabolism	0	2	0.181497353164			
Polyunsaturated fatty acid biosynthesis	0	0	0.181497353164			
Fatty acid oxidation, peroxisome	0	0	0.181497353164			
Dynorphin metabolism	0	0	0.181497353164			
Vitamin D	0	0	0.181497353164			
Heparan sulfate degradation	0	3	0.181497353164			
Proteoglycan biosynthesis	0	0	0.181497353164			
Vitamin K metabolism	0	0	0.181497353164			
D4&E4-neuroprostanes formation	0	0	0.181497353164			
Geraniol degradation	0	0	0.181497353164			
TCA cycle	0	0	0.181497353164			
O-Glycan biosynthesis	0	0	0.181497353164			
Keratan sulfate biosynthesis	0	0	0.181497353164			
Sphingolipid metabolism	0	0	0.181497353164			
Glycosphingolipid metabolism	0	5	0.181497353164			
Limonene and pinene degradation	0	0	0.181497353164			
Ubiquinone Biosynthesis	0	0	0.181497353164			
1- and 2-Methylnaphthalene degradation	0	0	0.181497353164			
Drug metabolism - other enzymes	0	0	0.181497353164			
N-Glycan Degradation	0	3	0.181497353164			
Atrazine degradation	0	0	0.181497353164			
Leukotriene metabolism	0	0	0.181497353164			
Fatty acid activation	0	1	0.181497353164			
Vitamin B12 (cyanocobalamin) metabolism	0	0	0.181497353164			
Phosphatidylinositol phosphate metabolism	0	2	0.181497353164			
Porphyrin metabolism	0	2	0.181497353164			
Prostaglandin formation from arachidonate	0	0	0.181497353164			
Benzoate degradation via CoA ligation	0	0	0.181497353164			
Dimethyl-branched-chain fatty acid mitochondrial beta-oxidation	0	0	0.181497353164			
Pentose and Glucuronate Interconversions	0	0	0.181497353164			
Vitamin B6 (pyridoxine) metabolism	0	0	0.181497353164			
Nucleotide Sugar Metabolism	0	0	0.181497353164			
Carbon fixation	0	0	0.181497353164			
Selenoamino acid metabolism	0	0	0.181497353164			
Lysine metabolism	0	4	0.181497353164			
Methionine and cysteine metabolism	0	1	0.181497353164			
Phytanic acid peroxisomal oxidation	0	0	0.181497353164			
Omega-6 fatty acid metabolism	0	0	0.181497353164			
Pentose phosphate pathway	0	2	0.181497353164			
C21-steroid hormone biosynthesis and metabolism	0	0	0.181497353164			
Prostaglandin formation from dihomo gama-linoleic acid	0	0	0.181497353164			
Beta-Alanine metabolism	0	2	0.181497353164			
Trihydroxycoprostanoyl-CoA beta-oxidation	0	0	0.181497353164			
Starch and Sucrose Metabolism	0	2	0.181497353164			
