EID	massfeature_rows	str_row_ion	compounds	compound_names
E45	row221	row221_M-H2O+H[1+]	C00430;C03440;C01165;C01157;C01110	5-Aminolevulinate; 5-Amino-4-oxopentanoate; 5-Amino-4-oxovaleric acid$cis-4-Hydroxy-D-proline$L-Glutamate 5-semialdehyde; L-Glutamate gamma-semialdehyde$trans-4-Hydroxy-L-proline$5-Amino-2-oxopentanoic acid; 5-Amino-2-oxopentanoate; 2-Oxo-5-amino-pentanoate; 2-Oxo-5-aminopentanoate; alpha-Keto-delta-aminopentanoate; 2-Oxo-5-aminovalerate
E47	row1424	row1424_M+H[1+]	CE1918;CE5629	5-hydroxytryptophol$1,2-dehydrosalsolinol
E49	row1506;row914	row1506_M+H2O+H[1+];row914_M+H[1+]	C03912	(S)-1-Pyrroline-5-carboxylate; L-1-Pyrroline-5-carboxylate; 1-Pyrroline-5-carboxylate
E52	row1582;row1911;row274;row83;row969	row1582_M-CO+H[1+];row1911_M-H2O+H[1+];row274_M-HCOOH+H[1+];row83_M-H4O2+H[1+];row969_M-C3H4O2+H[1+]	C00864	Pantothenate; Pantothenic acid; (R)-Pantothenate
E56	row1039;row212;row865	row1039_M-H2O+H[1+];row212_M+2H[2+];row865_M-NH3+H[1+]	C00047	L-Lysine; Lysine acid; 2,6-Diaminohexanoic acid
E60	row56	row56_M-H2O+H[1+]	C00791	
E61	row1772	row1772_M+H[1+]	C03341	2-Amino-4-oxopentanoic acid; 2-Amino-4-oxopentanoate
E63	row1093;row1153;row1159;row1860;row1940	row1093_M+H[1+];row1153_M(C13)+H[1+];row1159_M-CO+H[1+];row1860_M+H2O+H[1+];row1940_M+Na[1+]	C00906	5,6-Dihydrothymine; Dihydrothymine; 5,6-Dihydro-5-methyluracil
E64	row1108;row1175;row980	row1108_M(C13)+H[1+];row1175_M+H[1+];row980_M-C3H4O2+H[1+]	pcrn	propionyl-carnitine
E67	row272	row272_M+H[1+]	C00785	Urocanate; Urocanic acid
E68	row11	row11_M+H[1+]	C00491	L-Cystine; L-Dicysteine; L-alpha-Diamino-beta-dithiolactic acid
E69	row718	row718_M-H2O+H[1+]	C01736;C05512	Nebularine; Purine riboside; N-D-Ribosylpurine$Deoxyinosine
E70	row651	row651_M+H[1+]	C12455	5-Aminopentanal
E71	row1507	row1507_M+H[1+]	C02505;C02558	2-Phenylacetamide$N-Acetylarylamine
E73	row1171	row1171_M+H[1+]	CE5318;CE5306	3(S),8(S)-dihydroxy-6E,10Z-hexadecadienoate$3(S),8(R)-dihydroxy-6E,10Z-hexadecadienoate
E74	row329	row329_M-H2O+H[1+]	C00555	4-Aminobutanal; 4-Aminobutyraldehyde; Butyraldehyde, 4-amino-
E86	row921	row921_M+H[1+]	C05545	Protein N6,N6-dimethyl-L-lysine
E89	row1096;row1521;row423;row798	row1096_M-HCOOH+H[1+];row1521_M-C3H4O2+H[1+];row423_M-H2O+H[1+];row798_M-H4O2+H[1+]	C08261	
E90	row105	row105_M+H[1+]	C00302	DL-Glutamate; DL-Glutaminic acid; 2-Aminoglutaric acid; Glutamate
E93	row1020;row1121;row1629;row524;row879	row1020_M+H[1+];row1121_M-H2O+H[1+];row1629_M-H4O2+H[1+];row524_M-HCOOH+H[1+];row879_M(C13)+H[1+]	C05519;C00188	L-Allothreonine; L-allo-Threonine$L-Threonine; 2-Amino-3-hydroxybutyric acid
E96	row348	row348_M+H[1+]	C00785	Urocanate; Urocanic acid
E98	row1051;row1715	row1051_M(C13)+H[1+];row1715_M+H[1+]	C00073	L-Methionine; Methionine; L-2-Amino-4methylthiobutyric acid
E99	row398	row398_M+Na[1+]	CE6205	5-methoxytryptophol
E100	row1403;row1485;row1943	row1403_M(C13)+H[1+];row1485_M+H[1+];row1943_M-HCOOH+H[1+]	C00079;CE2172	L-Phenylalanine; (S)-alpha-Amino-beta-phenylpropionic acid$
E107	row1190	row1190_M-H2O+H[1+]	C01035	4-Guanidinobutanoate
E110	row700;row966	row700_M(C13)+H[1+];row966_M+H[1+]	C03626	Nomega,Nomega'-Dimethyl-L-arginine; NG,NG-Dimethyl-L-arginine
E113	row1091;row799;row923	row1091_M-CO2+H[1+];row799_M-H2O+H[1+];row923_M-HCOOH+H[1+]	C03680	4-Imidazolone-5-propanoate; 4-Imidazolone-5-propionic acid; 4,5-Dihydro-4-oxo-5-imidazolepropanoate
E118	row290	row290_M-H2O+H[1+]	C00430;C03440;C01165;C01157;C01110	5-Aminolevulinate; 5-Amino-4-oxopentanoate; 5-Amino-4-oxovaleric acid$cis-4-Hydroxy-D-proline$L-Glutamate 5-semialdehyde; L-Glutamate gamma-semialdehyde$trans-4-Hydroxy-L-proline$5-Amino-2-oxopentanoic acid; 5-Amino-2-oxopentanoate; 2-Oxo-5-amino-pentanoate; 2-Oxo-5-aminopentanoate; alpha-Keto-delta-aminopentanoate; 2-Oxo-5-aminovalerate
E123	row176;row1762;row1866;row1918;row229	row176_M-CO+H[1+];row1762_M+H2O+H[1+];row1866_M-C3H4O2+H[1+];row1918_M+H[1+];row229_M-H2O+H[1+]	C05588	L-Metanephrine
E126	row390;row533	row390_M-H2O+H[1+];row533_M-C3H4O2+H[1+]	C05660	5-Methoxyindoleacetate
E135	row1048;row1350;row1887	row1048_M+H[1+];row1350_M-HCOOH+H[1+];row1887_M-H2O+H[1+]	C00437	N-Acetylornithine; N2-Acetyl-L-ornithine
E137	row1890	row1890_M+H[1+]	C00135	L-Histidine; (S)-alpha-Amino-1H-imidazole-4-propionic acid
E138	row43	row43_M+Na[1+]	c226crn	cervonyl carnitine
E140	row1156;row1279	row1156_M-HCOOH+H[1+];row1279_M+H[1+]	C05548	6-Acetamido-2-oxohexanoate; 2-Oxo-6-acetamidocaproate
E141	row1032;row1917;row639;row95	row1032_M+H2O+H[1+];row1917_M-CO+H[1+];row639_M+Na[1+];row95_M+H[1+]	C11924	Perillic acid
E146	row1110;row1682	row1110_M+H[1+];row1682_M-CO+H[1+]	C05130	Imidazole-4-acetaldehyde; Imidazole acetaldehyde
E147	row524	row524_M+H[1+]	C02229;C01888;C05665	3-Aminopropanal$Aminoacetone; 1-Amino-2-propanone$beta-Aminopropion aldehyde
E151	row451;row509	row451_M-C3H4O2+H[1+];row509_M+H[1+]	C00250	Pyridoxal
E152	row159	row159_M+H[1+]	C00530;C00090	p-Benzenediol; Hydroquinone; 1,4-Benzenediol; 1,4-Dihydroxybenzene; Benzene-1,4-diol; Quinol; 4-Hydroxyphenol$Catechol; 1,2-Benzenediol; o-Benzenediol; 1,2-Dihydroxybenzene; Brenzcatechin; Pyrocatechol
E164	row267;row394	row267_M-H2O+H[1+];row394_M(C13)+H[1+]	C01026;C01205;C02356;C00334;C03284;C05145	N,N-Dimethylglycine; Dimethylglycine$(R)-3-Amino-2-methylpropanoate; D-3-Amino-isobutanoate$(S)-2-Aminobutanoate; (S)-2-Aminobutanoic acid; (S)-2-Aminobutyric acid$4-Aminobutanoate; 4-Aminobutanoic acid; 4-Aminobutyrate; 4-Aminobutyric acid; gamma-Aminobutyric acid$L-3-Amino-isobutanoate; (S)-3-Amino-isobutyrate; L-3-Amino-isobutyrate; (S)-3-Amino-isobutanoate; (S)-3-Amino-2-methylpropanoate$3-Aminoisobutyric acid; 3-Aminoisobutanoate; 3-Amino-2-methylpropanoate
E169	row981	row981_M-H2O+H[1+]	C01736;C05512	Nebularine; Purine riboside; N-D-Ribosylpurine$Deoxyinosine
E172	row1632;row1876	row1632_M+H[1+];row1876_M(C13)+H[1+]	C00213;C00133;C00099;C00041	Sarcosine; N-Methylglycine$D-Alanine; D-2-Aminopropionic acid; D-Ala$beta-Alanine; 3-Aminopropionic acid; 3-Aminopropanoate$L-Alanine; L-2-Aminopropionic acid; L-alpha-Alanine
E175	row75	row75_M+Na[1+]	dcsptn1crn;clpndcrn	docosa-4,7,10,13,16-pentaenoyl carnitine$clupanodonyl carnitine
E176	row366	row366_M+H[1+]	C00073	L-Methionine; Methionine; L-2-Amino-4methylthiobutyric acid
E179	row1902;row302;row521	row1902_M-CO+H[1+];row302_M-C3H4O2+H[1+];row521_M+H[1+]	C03087	5-Acetamidopentanoate
E180	row1488	row1488_M+H[1+]	C03793	N6,N6,N6-Trimethyl-L-lysine
E181	row1114	row1114_M-H2O+H[1+]	C05588	L-Metanephrine
E183	row1766	row1766_M+H[1+]	C01582;C00795;C00221;C00267;C00137;C00962;C00095;C00247;C00031;C00159;C00936;C00738;C02336;C00984;C00293;C00124	Galactose$D-Tagatose; lyxo-Hexulose$beta-D-Glucose$alpha-D-Glucose$myo-Inositol; D-myo-Inositol; 1D-myo-Inositol; L-myo-Inositol; 1L-myo-Inositol; meso-Inositol; Inositol; Dambose; Cyclohexitol; Meat sugar; Bios I$beta-D-Galactose$D-Fructose; Levulose; Fruit sugar; D-arabino-Hexulose$L-Sorbose; L-xylo-Hexulose$D-Glucose; Grape sugar; Dextrose$D-Mannose; Mannose; Seminose; Carubinose$$D-Hexose$beta-D-Fructose; beta-Fruit sugar; beta-D-arabino-Hexulose; beta-Levulose; Fructose$alpha-D-Galactose$Glucose$D-Galactose
E184	row1154	row1154_M+Na[1+]	C06199	Hordenine; 4-[2-(Dimethylamino)ethyl]phenol
E185	row1266	row1266_M+Na[1+]	C14860	
E189	row1529	row1529_M-H2O+H[1+]	C00164;C00232;C06002;C00349;C00109	Acetoacetate; 3-Oxobutanoic acid; beta-Ketobutyric acid; Acetoacetic acid$Succinate semialdehyde; Succinic semialdehyde; 4-Oxobutanoate$(S)-Methylmalonate semialdehyde$2-Methyl-3-oxopropanoate; 3-Oxo-2-methylpropanoate; Methylmalonate semialdehyde$2-Oxobutanoate; 2-Ketobutyric acid; 2-Oxobutyric acid; 2-Oxobutyrate; 2-Oxobutanoic acid; alpha-Ketobutyric acid; alpha-Ketobutyrate
E198	row1362	row1362_M+H[1+]	C00431;C00719;C00183	5-Aminopentanoate; 5-Aminopentanoic acid; 5-Aminovaleric acid$Betaine; Trimethylaminoacetate; Glycine betaine; N,N,N-Trimethylglycine; Trimethylammonioacetate$L-Valine; 2-Amino-3-methylbutyric acid
E200	row38	row38_M+Na[1+]	C02373	4-Methylpentanal; Isocaproaldehyde; Isohexanal
E201	row1387;row931	row1387_M+H[1+];row931_M(C13)+H[1+]	C00108	Anthranilate; Anthranilic acid; o-Aminobenzoic acid; Vitamin L1; 2-Aminobenzoate
E208	row1721;row622	row1721_M-CO+H[1+];row622_M+H[1+]	C05543	3-Dehydroxycarnitine
E211	row999	row999_M-H2O+H[1+]	C00106	Uracil
E213	row1735;row999	row1735_M+H[1+];row999_M-NH3+H[1+]	C00380	Cytosine
E215	row411	row411_M-H2O+H[1+]	C01736;C05512	Nebularine; Purine riboside; N-D-Ribosylpurine$Deoxyinosine
E219	row933	row933_M+H[1+]	C00534	Pyridoxamine; PM
E222	row1653	row1653_M+H[1+]	C05576	3,4-Dihydroxyphenylethyleneglycol
E230	row1491	row1491_M+H[1+]	C01152	N(pi)-Methyl-L-histidine; 1-Methylhistidine; N-pros-Methyl-L-histidine
E231	row1455;row1700	row1455_M+H[1+];row1700_M+H2O+H[1+]	C00791	
E233	row1800;row226	row1800_M+H2O+H[1+];row226_M+H[1+]	C05130	Imidazole-4-acetaldehyde; Imidazole acetaldehyde
E235	row109;row410	row109_M+H[1+];row410_M-H2O+H[1+]	C06103	6-Hydroxyhexanoic acid; 6-Hydroxyhexanoate
E237	row1470;row1596;row1695;row1773;row490;row948	row1470_M-NH3+H[1+];row1596_M-C3H4O2+H[1+];row1695_M-H2O+H[1+];row1773_M+H[1+];row490_M-HCOOH+H[1+];row948_M(C13)+H[1+]	pcrn	propionyl-carnitine
E243	row1800;row226;row602	row1800_M-H2O+H[1+];row226_M-H4O2+H[1+];row602_M-NH3+H[1+]	C00819;C00064;C05100	D-Glutamine; D-2-Aminoglutaramic acid$L-Glutamine; L-2-Aminoglutaramic acid$3-Ureidoisobutyrate
E244	row1582;row362	row1582_M(C13)+H[1+];row362_M+Na[1+]	C06212	N-Methylserotonin
E246	row392	row392_M-H2O+H[1+]	CE1926	gama-carboxyethyl-hydroxychroman
E251	row1468;row1647;row1788	row1468_M-CO2+H[1+];row1647_M+H[1+];row1788_M-CO+H[1+]	C01586;CE5536	Hippurate; Hippuric acid; N-Benzoylglycine; Benzoylaminoacetic acid$adrenochrome
E253	row766;row813	row766_M+H[1+];row813_M-NH3+H[1+]	C12448;egme	Ecgonine methyl ester; Methyl ecgonine$ecgonine methyl ester
E256	row212	row212_M+H[1+]	C02229;C01888;C05665	3-Aminopropanal$Aminoacetone; 1-Amino-2-propanone$beta-Aminopropion aldehyde
E260	row1110;row178;row939	row1110_M-HCOOH+H[1+];row178_M-H2O+H[1+];row939_M-CO2+H[1+]	C03680	4-Imidazolone-5-propanoate; 4-Imidazolone-5-propionic acid; 4,5-Dihydro-4-oxo-5-imidazolepropanoate
E263	row415	row415_M+H[1+]	C00530;C00090	p-Benzenediol; Hydroquinone; 1,4-Benzenediol; 1,4-Dihydroxybenzene; Benzene-1,4-diol; Quinol; 4-Hydroxyphenol$Catechol; 1,2-Benzenediol; o-Benzenediol; 1,2-Dihydroxybenzene; Brenzcatechin; Pyrocatechol
E265	row1766	row1766_M+Na[1+]	CE4968;CE4970	isovalerylglycine$2-methylbutyrylglycine
E266	row1751;row1917;row648	row1751_M-CO+H[1+];row1917_M-H2O+H[1+];row648_M+H[1+]	CE2006;CE6506	$
E268	row1796	row1796_M+Na[1+]	C05379	Oxalosuccinate; Oxalosuccinic acid
E269	row1282	row1282_M+H[1+]	C02990	L-Palmitoylcarnitine
E270	row1374;row1846;row422;row541	row1374_M-H2O+H[1+];row1846_M+H[1+];row422_M+H2O+H[1+];row541_M-CO+H[1+]	C05588	L-Metanephrine
E271	row1755	row1755_M+H[1+]	C00245	Taurine; 2-Aminoethanesulfonic acid; Aminoethylsulfonic acid
E273	row1449;row349	row1449_M+H2O+H[1+];row349_M+H[1+]	C00147	Adenine; 6-Aminopurine
E274	row1423	row1423_M-H2O+H[1+]	C05583;C05582	3-Methoxy-4-hydroxyphenylglycolaldehyde$Homovanillate; Homovanillic acid
E296	row1591	row1591_M+H[1+]	C00378	Thiamin; Thiamine; Vitamin B1; Aneurin; Antiberiberi factor
E297	row769	row769_M+H[1+]	C00302	DL-Glutamate; DL-Glutaminic acid; 2-Aminoglutaric acid; Glutamate
E298	row1820	row1820_M-H2O+H[1+]	C00931	Porphobilinogen
E308	row1305;row493	row1305_M+H2O+H[1+];row493_M+H[1+]	C00785	Urocanate; Urocanic acid
E321	row1936	row1936_M-H2O+H[1+]	C16595;C16587	4-Hydroxy-5-phenyltetrahydro-1,3-oxazin-2-one$3-Carbamoyl-2-phenylpropionaldehyde
E327	row1692;row231;row294;row736	row1692_M+H2O+H[1+];row231_M-HCOOH+H[1+];row294_M-H2O+H[1+];row736_M+H[1+]	C05587;C07453	3-Methoxytyramine$Epinine; Deoxyepinephrine
E329	row356	row356_M+H[1+]	C03239;C04076;C02946	6-Amino-2-oxohexanoate; 2-Oxo-6-aminocaproate$L-2-Aminoadipate 6-semialdehyde; 2-Aminoadipate 6-semialdehyde$4-Acetamidobutanoate; N4-Acetylaminobutanoate
E330	row73	row73_M+H[1+]	C00450;C04092	2,3,4,5-Tetrahydropyridine-2-carboxylate; delta1-Piperideine-6-L-carboxylate$delta1-Piperideine-2-carboxylate; 1,2-Didehydropiperidine-2-carboxylate
E339	row266	row266_M-H2O+H[1+]	C00077;C00515;C01602	L-Ornithine; (S)-2,5-Diaminovaleric acid; (S)-2,5-Diaminopentanoic acid; (S)-2,5-Diaminopentanoate$D-Ornithine$Ornithine; 2,5-Diaminovaleric acid; 2,5-Diaminopentanoic acid; 2,5-Diaminopentanoate
E342	row1087	row1087_M+H[1+]	C00065;C00740	L-Serine; L-2-Amino-3-hydroxypropionic acid; L-3-Hydroxy-alanine; Serine$D-Serine
E344	row232;row382;row495;row515	row232_M-HCOOH+H[1+];row382_M-NH3+H[1+];row495_M+H[1+];row515_M(C13)+H[1+]	C00078;C00525	L-Tryptophan; Tryptophan; (S)-alpha-Amino-beta-(3-indolyl)-propionic acid$D-Tryptophan
E351	row1506;row302;row451;row453;row914	row1506_M+H[1+];row302_M-CO2+H[1+];row451_M-H4O2+H[1+];row453_M+H2O+H[1+];row914_M-H2O+H[1+]	C00430;C03440;C01165;C01157;C01110	5-Aminolevulinate; 5-Amino-4-oxopentanoate; 5-Amino-4-oxovaleric acid$cis-4-Hydroxy-D-proline$L-Glutamate 5-semialdehyde; L-Glutamate gamma-semialdehyde$trans-4-Hydroxy-L-proline$5-Amino-2-oxopentanoic acid; 5-Amino-2-oxopentanoate; 2-Oxo-5-amino-pentanoate; 2-Oxo-5-aminopentanoate; alpha-Keto-delta-aminopentanoate; 2-Oxo-5-aminovalerate
E355	row1442;row1455;row1700;row1776;row812	row1442_M+Na[1+];row1455_M-H2O+H[1+];row1700_M+H[1+];row1776_M(C13)+H[1+];row812_M[1+]	C00300	Creatine; alpha-Methylguanidino acetic acid; Methylglycocyamine
E361	row360	row360_M+H[1+]	CE5320;CE5308	3-oxo-6(S)-hydroxy-tetradec-8Z-enoate$3-oxo-6(R)-hydroxy-tetradec-8-cis-enoate
E369	row1084;row1441	row1084_M-H2O+H[1+];row1441_M+H[1+]	C07054	Isoniazid
E372	row321	row321_M+H[1+]	CE2026	3-methylcrotonoylglycine
E376	row1018;row1751;row636;row93	row1018_M+H[1+];row1751_M-CO2+H[1+];row636_M-H2O+H[1+];row93_M+H2O+H[1+]	CE2576	
E380	row1611;row1676;row1815;row1817	row1611_M-CO2+H[1+];row1676_M-HCOOH+H[1+];row1815_M(C13)+H[1+];row1817_M+H[1+]	C00763;C00148;CE4788	D-Proline$L-Proline; 2-Pyrrolidinecarboxylic acid$acetamidopropanal
E382	row1591;row1859;row707	row1591_M(C13)+H[1+];row1859_M+Na[1+];row707_M+H[1+]	C05642;C04148	Formyl-N-acetyl-5-methoxykynurenamine$alpha-N-Phenylacetyl-L-glutamine
E384	row733	row733_M-H2O+H[1+]	C00819;C00064;C05100	D-Glutamine; D-2-Aminoglutaramic acid$L-Glutamine; L-2-Aminoglutaramic acid$3-Ureidoisobutyrate
E387	row923	row923_M+H[1+]	C05130	Imidazole-4-acetaldehyde; Imidazole acetaldehyde
E388	row1074	row1074_M+H[1+]	C12455	5-Aminopentanal
E389	row1506;row451;row914	row1506_M+H2O+H[1+];row451_M-H2O+H[1+];row914_M+H[1+]	C03564	1-Pyrroline-2-carboxylate; 1-Pyrroline-2-carboxylic acid; delta1-Pyrroline 2-carboxylate
E394	row105;row1893	row105_M+H2O+H[1+];row1893_M+H[1+]	C02238	5-Oxo-L-proline
E398	row943	row943_M+H[1+]	C00632	3-Hydroxyanthranilate; 3-Hydroxyanthranilic acid
E406	row1687	row1687_M+H[1+]	C03771	5-Guanidino-2-oxopentanoate; 5-Guanidino-2-oxo-pentanoate; 2-Oxo-5-guanidinopentanoate; 2-Oxo-5-guanidino-pentanoate
E409	row1788;row857	row1788_M-NH3+H[1+];row857_M+H[1+]	C00534	Pyridoxamine; PM
E411	row525;row576	row525_M+Na[1+];row576_M(C13)+H[1+]	C01620	
E414	row421;row649	row421_M-H2O+H[1+];row649_M-CO+H[1+]	C03771	5-Guanidino-2-oxopentanoate; 5-Guanidino-2-oxo-pentanoate; 2-Oxo-5-guanidinopentanoate; 2-Oxo-5-guanidino-pentanoate
E419	row905	row905_M-H2O+H[1+]	C14762;C14825;C14826	13(S)-HODE; (13S)-Hydroxyoctadecadienoic acid; (9Z, 11E)-(13S)-13-Hydroxyoctadeca-9,11-dienoic acid$9(10)-EpOME; (9R,10S)-(12Z)-9,10-Epoxyoctadecenoic acid$12(13)-EpOME; (12R,13S)-(9Z)-12,13-Epoxyoctadecenoic acid
E422	row425	row425_M-H2O+H[1+]	C01736;C05512	Nebularine; Purine riboside; N-D-Ribosylpurine$Deoxyinosine
E427	row1676	row1676_M-H2O+H[1+]	C00555	4-Aminobutanal; 4-Aminobutyraldehyde; Butyraldehyde, 4-amino-
E432	row1711	row1711_M+H[1+]	C00164;C00232;C06002;C00349;C00109	Acetoacetate; 3-Oxobutanoic acid; beta-Ketobutyric acid; Acetoacetic acid$Succinate semialdehyde; Succinic semialdehyde; 4-Oxobutanoate$(S)-Methylmalonate semialdehyde$2-Methyl-3-oxopropanoate; 3-Oxo-2-methylpropanoate; Methylmalonate semialdehyde$2-Oxobutanoate; 2-Ketobutyric acid; 2-Oxobutyric acid; 2-Oxobutyrate; 2-Oxobutanoic acid; alpha-Ketobutyric acid; alpha-Ketobutyrate
E439	row23	row23_M+H[1+]	C04230	1-Acyl-sn-glycero-3-phosphocholine; 1-Acyl-sn-glycerol-3-phosphocholine; alpha-Acylglycerophosphocholine; 2-Lysolecithin; 2-Lysophosphatidylcholine; 1-Acylglycerophosphocholine
E444	row338	row338_M+H[1+]	C00378	Thiamin; Thiamine; Vitamin B1; Aneurin; Antiberiberi factor
E446	row1613;row231;row540	row1613_M(C13)+H[1+];row231_M-C3H4O2+H[1+];row540_M+H[1+]	C09640;CE4890	(-)-Salsoline$N-methylsalsolinol
E450	row1730	row1730_M+H[1+]	C01586;CE5536	Hippurate; Hippuric acid; N-Benzoylglycine; Benzoylaminoacetic acid$adrenochrome
E451	row1649;row959;row984	row1649_M-HCOOH+H[1+];row959_M(C13)+H[1+];row984_M+H[1+]	C00407;C00123	L-Isoleucine; 2-Amino-3-methylvaleric acid$L-Leucine; 2-Amino-4-methylvaleric acid; (2S)-alpha-2-Amino-4-methylvaleric acid; (2S)-alpha-Leucine
E454	row243	row243_M+H[1+]	CE2122	methyl indole-3-acetate
E455	row314	row314_M+H[1+]	C09640;CE4890	(-)-Salsoline$N-methylsalsolinol
E456	row319;row746;row767	row319_M+Na[1+];row746_M(C13)+H[1+];row767_M+H[1+]	C00791	
E459	row137	row137_M-H2O+H[1+]	C05588	L-Metanephrine
E465	row1227	row1227_M+H[1+]	C00155	L-Homocysteine; L-2-Amino-4-mercaptobutyric acid
E471	row1149;row1911	row1149_M-H2O+H[1+];row1911_M-CO+H[1+]	CE2615	2-hydroxyamino-3,8-dimethylimidazo[4,5-f]quinoxaline
E487	row1277;row1366	row1277_M(C13)+H[1+];row1366_M+H[1+]	C01026;C01205;C02356;C00334;C03284;C05145	N,N-Dimethylglycine; Dimethylglycine$(R)-3-Amino-2-methylpropanoate; D-3-Amino-isobutanoate$(S)-2-Aminobutanoate; (S)-2-Aminobutanoic acid; (S)-2-Aminobutyric acid$4-Aminobutanoate; 4-Aminobutanoic acid; 4-Aminobutyrate; 4-Aminobutyric acid; gamma-Aminobutyric acid$L-3-Amino-isobutanoate; (S)-3-Amino-isobutyrate; L-3-Amino-isobutyrate; (S)-3-Amino-isobutanoate; (S)-3-Amino-2-methylpropanoate$3-Aminoisobutyric acid; 3-Aminoisobutanoate; 3-Amino-2-methylpropanoate
E490	row137	row137_M+H[1+]	C09642	(-)-Salsolinol; 6,7-Isoquinolinediol, 1,2,3,4-tetrahydro-1-methyl-, (S)-; Salsolinol
E498	row1281;row1378;row666	row1281_M+H[1+];row1378_M-HCOOH+H[1+];row666_M-H2O+H[1+]	CE2061	
E502	row1914	row1914_M-H2O+H[1+]	C05543	3-Dehydroxycarnitine
E504	row1046;row1057	row1046_M(C13)+H[1+];row1057_M+H[1+]	C00792;C00062	D-Arginine; D-2-Amino-5-guanidinovaleric acid$L-Arginine; (S)-2-Amino-5-guanidinovaleric acid
E506	row130;row1932	row130_M[1+];row1932_M+Na[1+]	C05933	N-(omega)-Hydroxyarginine
E512	row434;row620;row762;row995	row434_M-HCOOH+H[1+];row620_M-CO+H[1+];row762_M+H[1+];row995_M-H2O+H[1+]	C00407;C00123	L-Isoleucine; 2-Amino-3-methylvaleric acid$L-Leucine; 2-Amino-4-methylvaleric acid; (2S)-alpha-2-Amino-4-methylvaleric acid; (2S)-alpha-Leucine
E514	row267;row662	row267_M+3H[3+];row662_M+H[1+]	CE5320;CE5308	3-oxo-6(S)-hydroxy-tetradec-8Z-enoate$3-oxo-6(R)-hydroxy-tetradec-8-cis-enoate
E515	row584	row584_M+H[1+]	C00847	4-Pyridoxate; 4-Pyridoxic acid
E518	row1110;row1682	row1110_M-H2O+H[1+];row1682_M-HCOOH+H[1+]	C00906	5,6-Dihydrothymine; Dihydrothymine; 5,6-Dihydro-5-methyluracil
E526	row525;row557;row576;row654	row525_M+Na[1+];row557_M+H[1+];row576_M(C13)+H[1+];row654_M+K[1+]	C00262	Hypoxanthine; Purine-6-ol
E535	row1626;row223	row1626_M+H2O+H[1+];row223_M+H[1+]	C06103	6-Hydroxyhexanoic acid; 6-Hydroxyhexanoate
E537	row991	row991_M+H[1+]	C00819;C00064;C05100	D-Glutamine; D-2-Aminoglutaramic acid$L-Glutamine; L-2-Aminoglutaramic acid$3-Ureidoisobutyrate
E538	row1745	row1745_M+H[1+]	C09640;CE4890	(-)-Salsoline$N-methylsalsolinol
