EID	massfeature_rows	str_row_ion	compounds	compound_names
E49	row1388;row1480;row1757;row608	row1388_M(C13)+H[1+];row1480_M+H[1+];row1757_M+Na[1+];row608_M+K[1+]	C00262	Hypoxanthine; Purine-6-ol
E52	row1095;row1503;row1692;row583;row755	row1095_M+H[1+];row1503_M-HCOOH+H[1+];row1692_M(S34)+H[1+];row583_M-NH3+H[1+];row755_M(C13)+H[1+]	C00073	L-Methionine; Methionine; L-2-Amino-4methylthiobutyric acid
E55	row294;row537	row294_M[1+];row537_M+H[1+]	C00418	(R)-Mevalonate; Mevalonic acid; 3,5-Dihydroxy-3-methylvaleric acid
E59	row1366	row1366_M+H[1+]	C00763;CE4788;C00148	D-Proline$acetamidopropanal$L-Proline; 2-Pyrrolidinecarboxylic acid
E60	row1055;row1411;row1773;row535;row823	row1055_M-HCOOH+H[1+];row1411_M-H2O+H[1+];row1773_M-CO+H[1+];row535_M(C13)+H[1+];row823_M+H[1+]	C00217;C05938	D-Glutamate; D-Glutamic acid; D-Glutaminic acid; D-2-Aminoglutaric acid$L-4-Hydroxyglutamate semialdehyde
E61	row1036	row1036_M+H[1+]	C02325	Sinapyl alcohol; Sinapoyl alcohol
E66	row1300;row1556;row783;row962	row1300_M(C13)+H[1+];row1556_M-HCOOH+H[1+];row783_M+H[1+];row962_M-NH3+H[1+]	C00079;CE2172	L-Phenylalanine; (S)-alpha-Amino-beta-phenylpropionic acid$
E68	row1431;row1782;row670	row1431_M+H[1+];row1782_M-H2O+H[1+];row670_M-CO+H[1+]	C03771	5-Guanidino-2-oxopentanoate; 5-Guanidino-2-oxo-pentanoate; 2-Oxo-5-guanidinopentanoate; 2-Oxo-5-guanidino-pentanoate
E71	row1796;row686	row1796_M+H[1+];row686_M+HCOONa[1+]	C05827	Methylimidazole acetaldehyde; 1-Methylimidazole-4-acetaldehyde; Methylimidazoleacetaldehyde
E72	row335	row335_M+H[1+]	C05543	3-Dehydroxycarnitine
E79	row1043	row1043_M+H[1+]	C06423	Octanoic acid; Caprylic acid; Octylic acid
E81	row308	row308_M+H[1+]	C00437	N-Acetylornithine; N2-Acetyl-L-ornithine
E83	row161	row161_M-H2O+H[1+]	C00355	3,4-Dihydroxy-L-phenylalanine; L-Dopa; 3-Hydroxy-L-tyrosine; L-beta-(3,4-Dihydroxyphenyl)alanine; Levodopa; Dihydroxy-L-phenylalanine
E85	row1582	row1582_M+H[1+]	C05589;C00788	L-Normetanephrine$L-Adrenaline; (R)-(-)-Adrenaline; (R)-(-)-Epinephrine; (R)-(-)-Epirenamine; (R)-(-)-Adnephrine; 4-[(1R)-1-Hydroxy-2-(methylamino)ethyl]-1,2-benzenediol
E86	row1016;row399	row1016_M-H4O2+H[1+];row399_M-H2O+H[1+]	C00329	D-Glucosamine; Chitosamine; 2-Amino-2-deoxy-D-glucose
E87	row1158;row428	row1158_M-H2O+H[1+];row428_M-CO+H[1+]	C00956	L-2-Aminoadipate; L-alpha-Aminoadipate; L-alpha-Aminoadipic acid; L-2-Aminoadipic acid; L-2-Aminohexanedioate
E88	row68	row68_M-H2O+H[1+]	C00931	Porphobilinogen
E89	row134;row44	row134_M-H2O+H[1+];row44_M+H[1+]	C02642;C00152	3-Ureidopropionate; 3-Ureidopropanoate; beta-Ureidopropionic acid; N-Carbamoyl-beta-alanine$L-Asparagine; 2-Aminosuccinamic acid
E98	row930	row930_M+H[1+]	C01035	4-Guanidinobutanoate
E99	row1800	row1800_M-H2O+H[1+]	CE2576	
E100	row605	row605_M+H[1+]	C00431;C00183;C00719	5-Aminopentanoate; 5-Aminopentanoic acid; 5-Aminovaleric acid$L-Valine; 2-Amino-3-methylbutyric acid$Betaine; Trimethylaminoacetate; Glycine betaine; N,N,N-Trimethylglycine; Trimethylammonioacetate
E102	row1320;row669;row734	row1320_M-HCOOH+H[1+];row669_M+H[1+];row734_M-H2O+H[1+]	CE2061	
E106	row868	row868_M-H2O+H[1+]	C05828	Methylimidazoleacetic acid; Tele-methylimidazoleacetic acid; 1-Methyl-4-imidazoleacetic acid; 1-Methylimidazole-4-acetate; Methylimidazoleacetate
E108	row580	row580_M+H[1+]	C05519;C00188	L-Allothreonine; L-allo-Threonine$L-Threonine; 2-Amino-3-hydroxybutyric acid
E112	row1378;row146;row17;row438	row1378_M-H2O+H[1+];row146_M(C13)+H[1+];row17_M-NH3+H[1+];row438_M+H[1+]	C00077;C00515;C01602	L-Ornithine; (S)-2,5-Diaminovaleric acid; (S)-2,5-Diaminopentanoic acid; (S)-2,5-Diaminopentanoate$D-Ornithine$Ornithine; 2,5-Diaminovaleric acid; 2,5-Diaminopentanoic acid; 2,5-Diaminopentanoate
E115	row651	row651_M+H[1+]	C00590	Coniferyl alcohol; Coniferol; 4-(3-Hydroxy-1-propenyl)-2-methoxyphenol
E117	row14;row415;row741	row14_M+H[1+];row415_M+H2O+H[1+];row741_M-CO+H[1+]	C05588	L-Metanephrine
E119	row1441;row894	row1441_M-H2O+H[1+];row894_M-NH3+H[1+]	C00135	L-Histidine; (S)-alpha-Amino-1H-imidazole-4-propionic acid
E122	row172	row172_M+H[1+]	CE5277	aminochrome o-semiquinone
E126	row508;row606	row508_M+H[1+];row606_M-H2O+H[1+]	C03758	Dopamine; 4-(2-Aminoethyl)-1,2-benzenediol; 4-(2-Aminoethyl)benzene-1,2-diol; 3,4-Dihydroxyphenethylamine; 2-(3,4-Dihydroxyphenyl)ethylamine
E136	row1286;row1438;row80	row1286_M(C13)+H[1+];row1438_M+H2O+H[1+];row80_M+H[1+]	C00763;CE4788;C00148	D-Proline$acetamidopropanal$L-Proline; 2-Pyrrolidinecarboxylic acid
E137	row220	row220_M+H[1+]	C00645;C01074;C00140;C01132	N-Acetyl-D-mannosamine; 2-Acetamido-2-deoxy-D-mannose$N-Acetylgalactosamine; N-Acetylchondrosamine; 2-Acetamido-2-deoxygalactose; GalNAc$N-Acetyl-D-glucosamine; N-Acetylchitosamine; 2-Acetamido-2-deoxy-D-glucose; GlcNAc$N-Acetyl-D-galactosamine; N-Acetyl-D-chondrosamine; 2-Acetamido-2-deoxy-D-galactose
E144	row1388;row1480;row1757	row1388_M(C13)+H[1+];row1480_M+H[1+];row1757_M+Na[1+]	C01620	
E145	row15	row15_M+H[1+]	C00763;CE4788;C00148	D-Proline$acetamidopropanal$L-Proline; 2-Pyrrolidinecarboxylic acid
E150	row324	row324_M+H[1+]	C00302	DL-Glutamate; DL-Glutaminic acid; 2-Aminoglutaric acid; Glutamate
E152	row578	row578_M+H[1+]	C04281;C04282;C02238;C01879	L-1-Pyrroline-3-hydroxy-5-carboxylate; 3-Hydroxy-L-1-pyrroline-5-carboxylate; (3R,5S)-1-Pyrroline-3-hydroxy-5-carboxylate$1-Pyrroline-4-hydroxy-2-carboxylate$5-Oxo-L-proline$5-Oxoproline; Pyroglutamic acid; 5-Pyrrolidone-2-carboxylic acid; Pyroglutamate; 5-Oxo-L-proline; L-Pyroglutamic acid; L-5-Pyrrolidone-2-carboxylic acid
E159	row405	row405_M+H[1+]	C16586;CE2173	2-Phenyl-1,3-propanediol monocarbamate$
E171	row1327	row1327_M+H[1+]	C00785	Urocanate; Urocanic acid
E177	row1384;row1619;row829	row1384_M-HCOOH+H[1+];row1619_M+H[1+];row829_M-CO2+H[1+]	C05548	6-Acetamido-2-oxohexanoate; 2-Oxo-6-acetamidocaproate
E186	row198	row198_M+H[1+]	C09640;CE4890	(-)-Salsoline$N-methylsalsolinol
E193	row1099	row1099_M+H[1+]	C00037	Glycine; Aminoacetic acid; Gly
E197	row1155;row1519;row876	row1155_M+H[1+];row1519_M+HCOONa[1+];row876_M(C13)+H[1+]	CE1944	1-pyrroline
E203	row1297	row1297_M-H2O+H[1+]	C03087	5-Acetamidopentanoate
E206	row140	row140_M-H2O+H[1+]	C00847	4-Pyridoxate; 4-Pyridoxic acid
E209	row1797	row1797_M-H2O+H[1+]	C00780	3-(2-Aminoethyl)-1H-indol-5-ol; Serotonin; 5-Hydroxytryptamine; Enteramine
E210	row1706	row1706_M-H2O+H[1+]	C00847	4-Pyridoxate; 4-Pyridoxic acid
E219	row91	row91_M-H2O+H[1+]	C00429;C02512	5,6-Dihydrouracil; 2,4(1H,3H)-Pyrimidinedione, dihydro-; Dihydrouracile; Dihydrouracil; 5,6-Dihydro-2,4-dihydroxypyrimidine; Hydrouracil$3-Cyano-L-alanine; L-3-Cyanoalanine; L-beta-Cyanoalanine
E227	row1050	row1050_M+Na[1+]	C06178	1-Methylpyrrolinium
E228	row1663	row1663_M-H2O+H[1+]	C05519;C00188	L-Allothreonine; L-allo-Threonine$L-Threonine; 2-Amino-3-hydroxybutyric acid
E229	row8	row8_M-H2O+H[1+]	C01259	3-Hydroxy-N6,N6,N6-trimethyl-L-lysine
E231	row1033;row634	row1033_M-H2O+H[1+];row634_M-HCOOH+H[1+]	C00300	Creatine; alpha-Methylguanidino acetic acid; Methylglycocyamine
E232	row1475	row1475_M+H[1+]	C01026;C01205;C02356;C00334;C03284;C05145	N,N-Dimethylglycine; Dimethylglycine$(R)-3-Amino-2-methylpropanoate; D-3-Amino-isobutanoate$(S)-2-Aminobutanoate; (S)-2-Aminobutanoic acid; (S)-2-Aminobutyric acid$4-Aminobutanoate; 4-Aminobutanoic acid; 4-Aminobutyrate; 4-Aminobutyric acid; gamma-Aminobutyric acid$L-3-Amino-isobutanoate; (S)-3-Amino-isobutyrate; L-3-Amino-isobutyrate; (S)-3-Amino-isobutanoate; (S)-3-Amino-2-methylpropanoate$3-Aminoisobutyric acid; 3-Aminoisobutanoate; 3-Amino-2-methylpropanoate
E234	row1157;row1167	row1157_M+H2O+H[1+];row1167_M+H[1+]	CE5665	leukoaminochrome
E237	row1370;row226	row1370_M(C13)+H[1+];row226_M+H[1+]	C03626	Nomega,Nomega'-Dimethyl-L-arginine; NG,NG-Dimethyl-L-arginine
E242	row1058	row1058_M+H[1+]	CE2577	
E248	row1601	row1601_M+H[1+]	CE4888;C05578	dopaminochrome$5,6-Dihydroxyindole; DHI
E253	row671	row671_M+H[1+]	CE2577	
E258	row1178;row1345;row145;row1675;row1854;row536;row557;row712;row769	row1178_M-NH3+H[1+];row1345_M-NH3+H[1+];row145_M-CO2+H[1+];row1675_M+H[1+];row1854_M+H2O+H[1+];row536_M-H4O2+H[1+];row557_M+H[1+];row712_M-CO2+H[1+];row769_M+H2O+H[1+]	C12448;egme	Ecgonine methyl ester; Methyl ecgonine$ecgonine methyl ester
E259	row978	row978_M-H2O+H[1+]	C00431;C00183;C00719	5-Aminopentanoate; 5-Aminopentanoic acid; 5-Aminovaleric acid$L-Valine; 2-Amino-3-methylbutyric acid$Betaine; Trimethylaminoacetate; Glycine betaine; N,N,N-Trimethylglycine; Trimethylammonioacetate
E267	row562;row711;row799	row562_M+H[1+];row711_M-H2O+H[1+];row799_M-CO+H[1+]	C03087	5-Acetamidopentanoate
E272	row768	row768_M+Na[1+]	C06099;C06306;C06078;C00521	(+)-Limonene; (+)-(R)-Limonene; (+)-(4R)-Limonene$$$(-)-Limonene; (-)-(S)-Limonene; (-)-(4S)-Limonene
E278	row1767	row1767_M+H[1+]	C14790	
E279	row1306	row1306_M+H[1+]	C01132	N-Acetyl-D-galactosamine; N-Acetyl-D-chondrosamine; 2-Acetamido-2-deoxy-D-galactose
E280	row117	row117_M+H[1+]	C06103	6-Hydroxyhexanoic acid; 6-Hydroxyhexanoate
E289	row1111	row1111_M-H2O+H[1+]	C03824	2-Aminomuconate semialdehyde; 2-Aminomuconate 6-semialdehyde
E291	row1844	row1844_M-H2O+H[1+]	C06102;C03465;C00233	Adipate semialdehyde; Hexan-1-one-6-carboxylate; 6-Oxohexanoate$3-Methyl-2-oxopentanoate; 2-Oxo-3-methylvalerate$4-Methyl-2-oxopentanoate; 2-Oxoisocaproate
E294	row1333	row1333_M+Na[1+]	CE2061	
E299	row1123;row1671;row742	row1123_M-H2O+H[1+];row1671_M+H[1+];row742_M+H2O+H[1+]	C03758	Dopamine; 4-(2-Aminoethyl)-1,2-benzenediol; 4-(2-Aminoethyl)benzene-1,2-diol; 3,4-Dihydroxyphenethylamine; 2-(3,4-Dihydroxyphenyl)ethylamine
E301	row1155;row1532	row1155_M-H2O+H[1+];row1532_M+H2O+H[1+]	C00555	4-Aminobutanal; 4-Aminobutyraldehyde; Butyraldehyde, 4-amino-
E303	row700	row700_M+Na[1+]	C00601	Phenylacetaldehyde; alpha-Tolualdehyde
E305	row765	row765_M+H[1+]	C00318	L-Carnitine; L-gamma-Trimethyl-beta-hydroxybutyrobetaine; Vitamin BT; 3-Carboxy-2-hydroxy-N,N,N-trimethyl-1-propanaminium hydroxide, inner salt; Levocarnitine; (R)-Carnitine
E308	row1128;row1787;row318;row667	row1128_M-HCOOH+H[1+];row1787_M-H4O2+H[1+];row318_M-H2O+H[1+];row667_M-CO+H[1+]	CE5869	lysyl-proline
E311	row933	row933_M+H[1+]	C05581	3-Methoxy-4-hydroxyphenylacetaldehyde
E313	row1135;row1212	row1135_M+H2O+H[1+];row1212_M+H[1+]	C03564;C03912	1-Pyrroline-2-carboxylate; 1-Pyrroline-2-carboxylic acid; delta1-Pyrroline 2-carboxylate$(S)-1-Pyrroline-5-carboxylate; L-1-Pyrroline-5-carboxylate; 1-Pyrroline-5-carboxylate
E322	row1233;row1733;row324	row1233_M+H[1+];row1733_M-CO2+H[1+];row324_M+H2O+H[1+]	C04281;C04282;C01879	L-1-Pyrroline-3-hydroxy-5-carboxylate; 3-Hydroxy-L-1-pyrroline-5-carboxylate; (3R,5S)-1-Pyrroline-3-hydroxy-5-carboxylate$1-Pyrroline-4-hydroxy-2-carboxylate$5-Oxoproline; Pyroglutamic acid; 5-Pyrrolidone-2-carboxylic acid; Pyroglutamate; 5-Oxo-L-proline; L-Pyroglutamic acid; L-5-Pyrrolidone-2-carboxylic acid
E323	row969	row969_M-H2O+H[1+]	C00431;C00183;C00719	5-Aminopentanoate; 5-Aminopentanoic acid; 5-Aminovaleric acid$L-Valine; 2-Amino-3-methylbutyric acid$Betaine; Trimethylaminoacetate; Glycine betaine; N,N,N-Trimethylglycine; Trimethylammonioacetate
E329	row1757	row1757_M-H2O+H[1+]	glac;C00072;C02670	D-glucurono-6,3-lactone$Ascorbate; Ascorbic acid; L-Ascorbate; L-Ascorbic acid; Vitamin C$D-Glucuronolactone; Glucurone; Glucofuranurono-6,3-lactone; D-Glucurono-3,6-lactone; D-Glucurone
E347	row1812;row432	row1812_M+H[1+];row432_M-CO+H[1+]	C02576	Perillyl aldehyde; Perillaldehyde
E348	row715;row782	row715_M[1+];row782_M+H[1+]	C00065;C00740	L-Serine; L-2-Amino-3-hydroxypropionic acid; L-3-Hydroxy-alanine; Serine$D-Serine
E354	row1010;row1026;row1421;row1701;row301;row677	row1010_M+H2O+H[1+];row1026_M-NH3+H[1+];row1421_M+H[1+];row1701_M+H2O+H[1+];row301_M-H2O+H[1+];row677_M-CO+H[1+]	C05589;C00788	L-Normetanephrine$L-Adrenaline; (R)-(-)-Adrenaline; (R)-(-)-Epinephrine; (R)-(-)-Epirenamine; (R)-(-)-Adnephrine; 4-[(1R)-1-Hydroxy-2-(methylamino)ethyl]-1,2-benzenediol
E356	row1662	row1662_M-H2O+H[1+]	C07501	Felbamate
E357	row1171;row118	row1171_M+H2O+H[1+];row118_M+H[1+]	C05130	Imidazole-4-acetaldehyde; Imidazole acetaldehyde
E377	row1039	row1039_M+H[1+]	C00431;C00183;C00719	5-Aminopentanoate; 5-Aminopentanoic acid; 5-Aminovaleric acid$L-Valine; 2-Amino-3-methylbutyric acid$Betaine; Trimethylaminoacetate; Glycine betaine; N,N,N-Trimethylglycine; Trimethylammonioacetate
E380	row1190;row1685	row1190_M-H4O2+H[1+];row1685_M-H2O+H[1+]	CE5869	lysyl-proline
E382	row1696	row1696_M+H[1+]	C02642;C00152	3-Ureidopropionate; 3-Ureidopropanoate; beta-Ureidopropionic acid; N-Carbamoyl-beta-alanine$L-Asparagine; 2-Aminosuccinamic acid
E385	row1129	row1129_M-H2O+H[1+]	C00645;C01074;C00140	N-Acetyl-D-mannosamine; 2-Acetamido-2-deoxy-D-mannose$N-Acetylgalactosamine; N-Acetylchondrosamine; 2-Acetamido-2-deoxygalactose; GalNAc$N-Acetyl-D-glucosamine; N-Acetylchitosamine; 2-Acetamido-2-deoxy-D-glucose; GlcNAc
E387	row750	row750_M-H2O+H[1+]	C00431;C00183;C00719	5-Aminopentanoate; 5-Aminopentanoic acid; 5-Aminovaleric acid$L-Valine; 2-Amino-3-methylbutyric acid$Betaine; Trimethylaminoacetate; Glycine betaine; N,N,N-Trimethylglycine; Trimethylammonioacetate
E388	row1423	row1423_M-H2O+H[1+]	C00327	L-Citrulline; 2-Amino-5-ureidovaleric acid; Citrulline
E392	row1016;row1076;row399	row1016_M-H2O+H[1+];row1076_M-HCOOH+H[1+];row399_M+H[1+]	C00956	L-2-Aminoadipate; L-alpha-Aminoadipate; L-alpha-Aminoadipic acid; L-2-Aminoadipic acid; L-2-Aminohexanedioate
E398	row1588;row182;row69;row702	row1588_M+2H[2+];row182_M+H[1+];row69_M-H4O2+H[1+];row702_M-CO2+H[1+]	C08261	
E402	row1823	row1823_M-H2O+H[1+]	C00555	4-Aminobutanal; 4-Aminobutyraldehyde; Butyraldehyde, 4-amino-
E406	row567;row699;row907	row567_M-H2O+H[1+];row699_M+H[1+];row907_M-NH3+H[1+]	pcrn	propionyl-carnitine
E407	row1407	row1407_M-H2O+H[1+]	C00242	Guanine; 2-Amino-6-hydroxypurine
E409	row103;row1107;row254;row54;row832	row103_M+H[1+];row1107_M+H2O+H[1+];row254_M-CO+H[1+];row54_M+H2O+H[1+];row832_M-CO+H[1+]	C00590	Coniferyl alcohol; Coniferol; 4-(3-Hydroxy-1-propenyl)-2-methoxyphenol
E410	row1655	row1655_M+H[1+]	C05543	3-Dehydroxycarnitine
E411	row1745	row1745_M-H2O+H[1+]	C03087	5-Acetamidopentanoate
E412	row1061	row1061_M+H[1+]	C06103	6-Hydroxyhexanoic acid; 6-Hydroxyhexanoate
E414	row1283;row1667;row1851;row215;row258;row488	row1283_M-CO+H[1+];row1667_M-HCOOH+H[1+];row1851_M-CO+H[1+];row215_M-H4O2+H[1+];row258_M-H2O+H[1+];row488_M+H[1+]	C00439	N-Formimino-L-glutamate; N-Formimidoyl-L-glutamate
E415	row1028	row1028_M-H2O+H[1+]	C01736;C05512	Nebularine; Purine riboside; N-D-Ribosylpurine$Deoxyinosine
E417	row1441	row1441_M+H[1+]	C07054	Isoniazid
E418	row268	row268_M-H2O+H[1+]	C00547;C00314	L-Noradrenaline; Noradrenaline; Norepinephrine; Arterenol; 4-[(1R)-2-Amino-1-hydroxyethyl]-1,2-benzenediol$Pyridoxine; Pyridoxol
E423	row909	row909_M+H[1+]	C14860	
E425	row724;row937	row724_M-CO+H[1+];row937_M-H2O+H[1+]	C03824	2-Aminomuconate semialdehyde; 2-Aminomuconate 6-semialdehyde
E428	row1682	row1682_M+Na[1+]	CE1395	
E433	row116;row147	row116_M+H[1+];row147_M-H2O+H[1+]	C00847	4-Pyridoxate; 4-Pyridoxic acid
E440	row1604	row1604_M+H[1+]	C00632	3-Hydroxyanthranilate; 3-Hydroxyanthranilic acid
E448	row1135;row1212	row1135_M+H[1+];row1212_M-H2O+H[1+]	C00430;C03440;C01165;C01157;C01110	5-Aminolevulinate; 5-Amino-4-oxopentanoate; 5-Amino-4-oxovaleric acid$cis-4-Hydroxy-D-proline$L-Glutamate 5-semialdehyde; L-Glutamate gamma-semialdehyde$trans-4-Hydroxy-L-proline$5-Amino-2-oxopentanoic acid; 5-Amino-2-oxopentanoate; 2-Oxo-5-amino-pentanoate; 2-Oxo-5-aminopentanoate; alpha-Keto-delta-aminopentanoate; 2-Oxo-5-aminovalerate
E455	row1467	row1467_M-H2O+H[1+]	C00547;C00314	L-Noradrenaline; Noradrenaline; Norepinephrine; Arterenol; 4-[(1R)-2-Amino-1-hydroxyethyl]-1,2-benzenediol$Pyridoxine; Pyridoxol
E456	row1364;row1499	row1364_M+H[1+];row1499_M(C13)+H[1+]	C01026;C01205;C02356;C00334;C03284;C05145	N,N-Dimethylglycine; Dimethylglycine$(R)-3-Amino-2-methylpropanoate; D-3-Amino-isobutanoate$(S)-2-Aminobutanoate; (S)-2-Aminobutanoic acid; (S)-2-Aminobutyric acid$4-Aminobutanoate; 4-Aminobutanoic acid; 4-Aminobutyrate; 4-Aminobutyric acid; gamma-Aminobutyric acid$L-3-Amino-isobutanoate; (S)-3-Amino-isobutyrate; L-3-Amino-isobutyrate; (S)-3-Amino-isobutanoate; (S)-3-Amino-2-methylpropanoate$3-Aminoisobutyric acid; 3-Aminoisobutanoate; 3-Amino-2-methylpropanoate
E460	row33	row33_M-H2O+H[1+]	CE2705;CE5236	quinonoid dihydrobiopterin$O2'-4a-cyclic-tetrahydrobiopterin
E463	row1360	row1360_M-H2O+H[1+]	C03824	2-Aminomuconate semialdehyde; 2-Aminomuconate 6-semialdehyde
E465	row73	row73_M+H[1+]	C05543	3-Dehydroxycarnitine
E468	row596;row737	row596_M+H[1+];row737_M+H2O+H[1+]	C09642	(-)-Salsolinol; 6,7-Isoquinolinediol, 1,2,3,4-tetrahydro-1-methyl-, (S)-; Salsolinol
E469	row442	row442_M+H[1+]	CE4888;C05578	dopaminochrome$5,6-Dihydroxyindole; DHI
E470	row581	row581_M-H2O+H[1+]	C00429;C02512	5,6-Dihydrouracil; 2,4(1H,3H)-Pyrimidinedione, dihydro-; Dihydrouracile; Dihydrouracil; 5,6-Dihydro-2,4-dihydroxypyrimidine; Hydrouracil$3-Cyano-L-alanine; L-3-Cyanoalanine; L-beta-Cyanoalanine
E472	row1682;row880	row1682_M+H[1+];row880_M-NH3+H[1+]	C00135	L-Histidine; (S)-alpha-Amino-1H-imidazole-4-propionic acid
E474	row541	row541_M-H2O+H[1+]	C00956	L-2-Aminoadipate; L-alpha-Aminoadipate; L-alpha-Aminoadipic acid; L-2-Aminoadipic acid; L-2-Aminohexanedioate
E476	row1133;row16;row271	row1133_M-H2O+H[1+];row16_M-H2O+H[1+];row271_M-HCOOH+H[1+]	C06103	6-Hydroxyhexanoic acid; 6-Hydroxyhexanoate
E477	row1375	row1375_M+H[1+]	CE1944	1-pyrroline
E485	row1231;row1274;row1476	row1231_M-H2O+H[1+];row1274_M-HCOOH+H[1+];row1476_M-CO+H[1+]	C01801	Deoxyribose; 2-Deoxy-D-erythro-pentose; Thyminose; 2-Deoxy-D-ribose
E490	row1005;row1469;row320	row1005_M-H2O+H[1+];row1469_M+H2O+H[1+];row320_M-H4O2+H[1+]	C03758	Dopamine; 4-(2-Aminoethyl)-1,2-benzenediol; 4-(2-Aminoethyl)benzene-1,2-diol; 3,4-Dihydroxyphenethylamine; 2-(3,4-Dihydroxyphenyl)ethylamine
E491	row7	row7_M-H2O+H[1+]	C05828	Methylimidazoleacetic acid; Tele-methylimidazoleacetic acid; 1-Methyl-4-imidazoleacetic acid; 1-Methylimidazole-4-acetate; Methylimidazoleacetate
E495	row549	row549_M+H[1+]	C00437	N-Acetylornithine; N2-Acetyl-L-ornithine
E499	row43	row43_M-H2O+H[1+]	C00429;C02512	5,6-Dihydrouracil; 2,4(1H,3H)-Pyrimidinedione, dihydro-; Dihydrouracile; Dihydrouracil; 5,6-Dihydro-2,4-dihydroxypyrimidine; Hydrouracil$3-Cyano-L-alanine; L-3-Cyanoalanine; L-beta-Cyanoalanine
E502	row1670;row932	row1670_M-H2O+H[1+];row932_M-CO+H[1+]	C03239;C04076;C02946	6-Amino-2-oxohexanoate; 2-Oxo-6-aminocaproate$L-2-Aminoadipate 6-semialdehyde; 2-Aminoadipate 6-semialdehyde$4-Acetamidobutanoate; N4-Acetylaminobutanoate
E503	row1205	row1205_M+H[1+]	C06144	3-Butynoate
E505	row1472;row1694	row1472_M+H[1+];row1694_M-H2O+H[1+]	C05581	3-Methoxy-4-hydroxyphenylacetaldehyde
E506	row749	row749_M+H[1+]	C00388	1H-Imidazole-4-ethanamine; Histamine; 2-(4-Imidazolyl)ethylamine
E507	row1183;row708	row1183_M+H[1+];row708_M(C13)+H[1+]	C01026;C01205;C02356;C00334;C03284;C05145	N,N-Dimethylglycine; Dimethylglycine$(R)-3-Amino-2-methylpropanoate; D-3-Amino-isobutanoate$(S)-2-Aminobutanoate; (S)-2-Aminobutanoic acid; (S)-2-Aminobutyric acid$4-Aminobutanoate; 4-Aminobutanoic acid; 4-Aminobutyrate; 4-Aminobutyric acid; gamma-Aminobutyric acid$L-3-Amino-isobutanoate; (S)-3-Amino-isobutyrate; L-3-Amino-isobutyrate; (S)-3-Amino-isobutanoate; (S)-3-Amino-2-methylpropanoate$3-Aminoisobutyric acid; 3-Aminoisobutanoate; 3-Amino-2-methylpropanoate
E509	row1234;row24	row1234_M-NH3+H[1+];row24_M+H[1+]	C05543	3-Dehydroxycarnitine
E512	row1463	row1463_M+H[1+]	C06423	Octanoic acid; Caprylic acid; Octylic acid
E524	row320	row320_M-H2O+H[1+]	C02505	2-Phenylacetamide
